상태,날짜,분류,공지 제목,저장 파일명 (images/notice/),원본 URL,원본 크기(KB),저장 크기(KB),해상도
복사됨,2014-09-04,notice,[2014년도 1학기] 졸업을 축하합니다.,2014년도_1학기_졸업을_축하합니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2014/09/suhae1.jpg,869,272,1600x900
복사됨,2014-09-04,notice,[2014년도 1학기] 졸업을 축하합니다.,2014년도_1학기_졸업을_축하합니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2014/09/suhae2.jpg,856,268,1600x900
복사됨,2015-02-09,event,[2014년도 2학기] MT를 성공적으로 마쳤습니다.,2014년도_2학기_MT를_성공적으로_마쳤습니다_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/02/2015_1_MT1.jpg,173,133,959x720
복사됨,2015-02-09,event,[2014년도 2학기] MT를 성공적으로 마쳤습니다.,2014년도_2학기_MT를_성공적으로_마쳤습니다_2.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/02/2015_1_MT2.jpg,146,112,960x719
복사됨,2015-02-27,notice,[2014년도 2학기] 졸업을 축하합니다.,2014년도_2학기_졸업을_축하합니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/02/2015_2_Graduation.jpg,2917,379,1600x1067
복사됨,2015-05-08,event,체육대회 점심식사 및 뒤풀이 공지,체육대회_점심식사_및_뒤풀이_공지_1.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/05/sanggogi.png,1340,232,1180x1125
복사됨,2015-05-08,event,체육대회 점심식사 및 뒤풀이 공지,체육대회_점심식사_및_뒤풀이_공지_2.png,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/05/sanggogi2.png,9,5,931x207
복사됨,2015-05-14,event,2015년 5월 9일 체육대회를 성공적으로 마쳤습니다.,2015년_5월_9일_체육대회를_성공적으로_마쳤습니다.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2015/05/2015_1_P1.jpg,2866,195,1600x900
복사됨,2016-12-28,event,2016년 12월 3D IC 신뢰성 및 수율 향상 기술 워크샵,2016년_12월_3D_IC_신뢰성_및_수율_향상_기술_워크샵.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2016/12/KakaoTalk_20161208_121334316.jpg,136,127,960x720
복사됨,2017-12-08,event,2017년 12월 인공지능/빅데이터를 활용한 3차원 반도체 신뢰성 및 수율 향상 기술 워크샵,2017년_12월_인공지능_빅데이터를_활용한_3차원_반도체_신뢰성_및_수율_향상_기술_워크샵.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2017/12/KakaoTalk_20171208_165326586.jpg,3255,254,1600x900
복사됨,2018-09-04,event,2018년 8월 학위수여식 - 최인혁 졸업,2018년_8월_학위수여식_-_최인혁_졸업.jpg,http://soc.yonsei.ac.kr/wordpress/wp-content/uploads/2018/09/IMG_1234.jpg,3694,317,1600x778
